geometry,GEOMETRY_SCHOOL
"POLYGON((-72.5262474321837 8.48140861852962, -72.6254069695264 8.58845218993978, -72.656437785805 8.61128754971998, -72.7017379318757 8.80806592182767, -72.718664007022 8.88372731264414, -72.7916666840475 8.85626173113241, -72.8127038196412 8.84834341381046, -72.7836932418559 8.72512898189602, -72.8096854637015 8.70835808403516, -72.8236373797903 8.6993544700122, -72.8128570955158 8.6631611895986, -72.7966896750515 8.60887112894, -72.7603808960782 8.6030220595488, -72.7547427516411 8.60211348107065, -72.6896317394385 8.52518685803234, -72.7541451191997 8.51221715745747, -72.6946851547659 8.44581470826448, -72.6666681484239 8.41451585928103, -72.6601101076098 8.40718872360916, -72.6320780222139 8.37586276122385, -72.6206020434826 8.41090029139909, -72.5951660422148 8.41626460037921, -72.5992185168423 8.33586202964532, -72.6125439417676 8.29475539281741, -72.6114051523194 8.29475690203755, -72.5036949214767 8.29488493301245, -72.5019425542443 8.30047358926897, -72.4835634034039 8.35907519161701, -72.4794605374436 8.43426935286683, -72.5262474321837 8.48140861852962))",POINT(-72.732267237 8.635932563)
"POLYGON((-72.5262474321837 8.48140861852962, -72.6254069695264 8.58845218993978, -72.656437785805 8.61128754971998, -72.7017379318757 8.80806592182767, -72.718664007022 8.88372731264414, -72.7916666840475 8.85626173113241, -72.8127038196412 8.84834341381046, -72.7836932418559 8.72512898189602, -72.8096854637015 8.70835808403516, -72.8236373797903 8.6993544700122, -72.8128570955158 8.6631611895986, -72.7966896750515 8.60887112894, -72.7603808960782 8.6030220595488, -72.7547427516411 8.60211348107065, -72.6896317394385 8.52518685803234, -72.7541451191997 8.51221715745747, -72.6946851547659 8.44581470826448, -72.6666681484239 8.41451585928103, -72.6601101076098 8.40718872360916, -72.6320780222139 8.37586276122385, -72.6206020434826 8.41090029139909, -72.5951660422148 8.41626460037921, -72.5992185168423 8.33586202964532, -72.6125439417676 8.29475539281741, -72.6114051523194 8.29475690203755, -72.5036949214767 8.29488493301245, -72.5019425542443 8.30047358926897, -72.4835634034039 8.35907519161701, -72.4794605374436 8.43426935286683, -72.5262474321837 8.48140861852962))",POINT(-72.732267237 8.635932563)
"POLYGON((-72.5330052197426 5.15620924775381, -72.535948691216 5.16968734451679, -72.5508164796729 5.17555719048693, -72.5631790861752 5.16786281080176, -72.5670696279006 5.15983519206315, -72.5714128843048 5.1455331554211, -72.5630591496177 5.13562281516356, -72.5356950484161 5.14965344078468, -72.5330052197426 5.15620924775381))",POINT(-72.54170406 5.16683088)
"POLYGON((-72.5330052197426 5.15620924775381, -72.535948691216 5.16968734451679, -72.5508164796729 5.17555719048693, -72.5631790861752 5.16786281080176, -72.5670696279006 5.15983519206315, -72.5714128843048 5.1455331554211, -72.5630591496177 5.13562281516356, -72.5356950484161 5.14965344078468, -72.5330052197426 5.15620924775381))",POINT(-72.54170406 5.16683088)
"POLYGON((-72.5330052197426 5.15620924775381, -72.535948691216 5.16968734451679, -72.5508164796729 5.17555719048693, -72.5631790861752 5.16786281080176, -72.5670696279006 5.15983519206315, -72.5714128843048 5.1455331554211, -72.5630591496177 5.13562281516356, -72.5356950484161 5.14965344078468, -72.5330052197426 5.15620924775381))",POINT(-72.54448735 5.171157756)
"POLYGON((-72.5330052197426 5.15620924775381, -72.535948691216 5.16968734451679, -72.5508164796729 5.17555719048693, -72.5631790861752 5.16786281080176, -72.5670696279006 5.15983519206315, -72.5714128843048 5.1455331554211, -72.5630591496177 5.13562281516356, -72.5356950484161 5.14965344078468, -72.5330052197426 5.15620924775381))",POINT(-72.54448735 5.171157756)
"MULTIPOLYGON(((-75.3600581303812 3.05721526082989, -75.3493563932765 3.0744782409004, -75.3545517802854 3.10176331613456, -75.4176880754555 3.11254177196603, -75.4454928889075 3.03487616734092, -75.4166653228073 3.01768566814548, -75.41205455998 3.01493602318355, -75.4094965560371 3.02421477235693, -75.3881287915006 3.01193237509487, -75.3656269755474 3.04823191689279, -75.3600581303812 3.05721526082989)), ((-75.3640921783778 2.95554791716293, -75.3640780436213 2.94326193130081, -75.3559139789979 2.93299761024716, -75.3516303393873 2.94773882182097, -75.3640921783778 2.95554791716293)), ((-75.2904373590256 3.1892684937898, -75.2820998139418 3.2127857463929, -75.3086770646689 3.24801463871012, -75.3440258353249 3.24661455176905, -75.3695378239881 3.22009194579068, -75.4016352099613 3.1392248896365, -75.3537673927561 3.12255875654334, -75.3475109236644 3.15502392382143, -75.2904373590256 3.1892684937898)))",POINT(-75.3621521 3.06264329)
"MULTIPOLYGON(((-75.3600581303812 3.05721526082989, -75.3493563932765 3.0744782409004, -75.3545517802854 3.10176331613456, -75.4176880754555 3.11254177196603, -75.4454928889075 3.03487616734092, -75.4166653228073 3.01768566814548, -75.41205455998 3.01493602318355, -75.4094965560371 3.02421477235693, -75.3881287915006 3.01193237509487, -75.3656269755474 3.04823191689279, -75.3600581303812 3.05721526082989)), ((-75.3640921783778 2.95554791716293, -75.3640780436213 2.94326193130081, -75.3559139789979 2.93299761024716, -75.3516303393873 2.94773882182097, -75.3640921783778 2.95554791716293)), ((-75.2904373590256 3.1892684937898, -75.2820998139418 3.2127857463929, -75.3086770646689 3.24801463871012, -75.3440258353249 3.24661455176905, -75.3695378239881 3.22009194579068, -75.4016352099613 3.1392248896365, -75.3537673927561 3.12255875654334, -75.3475109236644 3.15502392382143, -75.2904373590256 3.1892684937898)))",POINT(-75.3621521 3.06264329)
"MULTIPOLYGON(((-75.3600581303812 3.05721526082989, -75.3493563932765 3.0744782409004, -75.3545517802854 3.10176331613456, -75.4176880754555 3.11254177196603, -75.4454928889075 3.03487616734092, -75.4166653228073 3.01768566814548, -75.41205455998 3.01493602318355, -75.4094965560371 3.02421477235693, -75.3881287915006 3.01193237509487, -75.3656269755474 3.04823191689279, -75.3600581303812 3.05721526082989)), ((-75.3640921783778 2.95554791716293, -75.3640780436213 2.94326193130081, -75.3559139789979 2.93299761024716, -75.3516303393873 2.94773882182097, -75.3640921783778 2.95554791716293)), ((-75.2904373590256 3.1892684937898, -75.2820998139418 3.2127857463929, -75.3086770646689 3.24801463871012, -75.3440258353249 3.24661455176905, -75.3695378239881 3.22009194579068, -75.4016352099613 3.1392248896365, -75.3537673927561 3.12255875654334, -75.3475109236644 3.15502392382143, -75.2904373590256 3.1892684937898)))",POINT(-75.3621521 3.06264329)
"MULTIPOLYGON(((-75.3600581303812 3.05721526082989, -75.3493563932765 3.0744782409004, -75.3545517802854 3.10176331613456, -75.4176880754555 3.11254177196603, -75.4454928889075 3.03487616734092, -75.4166653228073 3.01768566814548, -75.41205455998 3.01493602318355, -75.4094965560371 3.02421477235693, -75.3881287915006 3.01193237509487, -75.3656269755474 3.04823191689279, -75.3600581303812 3.05721526082989)), ((-75.3640921783778 2.95554791716293, -75.3640780436213 2.94326193130081, -75.3559139789979 2.93299761024716, -75.3516303393873 2.94773882182097, -75.3640921783778 2.95554791716293)), ((-75.2904373590256 3.1892684937898, -75.2820998139418 3.2127857463929, -75.3086770646689 3.24801463871012, -75.3440258353249 3.24661455176905, -75.3695378239881 3.22009194579068, -75.4016352099613 3.1392248896365, -75.3537673927561 3.12255875654334, -75.3475109236644 3.15502392382143, -75.2904373590256 3.1892684937898)))",POINT(-75.3621521 3.06264329)
